"Geneid" "1.sam" "2.sam" "3.sam" "4.sam" "5.sam" "6.sam" "7.sam" "8.sam" "9.sam" "10.sam" "11.sam" "12.sam" "13.sam" "14.sam" "15.sam" "16.sam" "17.sam" "18.sam" "19.sam" "20.sam" "21.sam" "22.sam" "23.sam" "24.sam"
"MER34A1" 6 1 17 6 1.5 5 0 21 5 7 0 10 3 7 0 0 6 0 4 0 8 10 6 0
"Lx3A" 40.73 44.57 84.03 66.5 39.28 64.23 114.45 38.02 53.38 67.78 16.65 85.13 99.2 43.25 44.1 29 42.2 107.87 71.95 66.97 63.18 42.8 114.52 33.1
"MLT2B1" 8 14.5 7.5 7 22 19 0 4 9 3 1 0 22 24 30 15 13.5 46 23 5 8.17 0 26.33 5.5
"B1F2" 214.15 155.4 465.33 342.7 274.6 372.97 672 387.47 269.88 460.08 103.8 395.2 325.8 144.2 243.42 326.4 282.62 426.45 335.52 408.83 422.67 177.73 697.78 259.4
"MT2C_Mm" 113.6 36.8 47.3 233.27 54.58 131.77 340.26 152.4 100.92 125.33 39.4 35.7 91.67 8 195.5 191.1 174.95 351.67 151.33 137.07 254.13 38.6 214.13 90
"MamTip3" 0 4 4 0 6 1 0 2 2 0.5 0 0 0 0 0 1 0 0 1 6 0 0 3 6
"MLT1G" 2 16 3 11 1 9.5 0 5 8 11.5 7 14 11 23 70 3 8 0 4.5 1 13 0 22 3
"L1MA9" 36 15 78.6 32.5 23.5 56 42 66 48 72 41 156 108.5 7 34 26 19.33 52 81.25 37 44.5 33 93.87 37
"Tigger19a" 108 27 72 202 61 180 265 109 102 139 23 85 82 61 52 217 150 182 138 151 304 44 249 141
"L1VL1" 23.6 24.6 64.1 18.57 15.05 30.5 50.53 39.2 20.35 64.55 24.2 28.75 50.2 6.5 43 28.85 27.93 18.73 28.2 9.4 34.83 9.2 36.17 26.6
"(CCAA)n" 11.4 3 38.8 12.9 14.8 25.23 1.8 26.7 12.05 61.3 2.4 6 17.4 25.75 0 17.6 25.5 18 7.5 33 41.63 17.6 17.1 7.7
"Charlie5" 17.5 15.5 43.33 29.6 14.2 23.45 0 40 18.25 27 11 35 18 2 0 13 24 29 19 13.67 11.9 8 34.53 12.5
"RMER6A" 48.05 56.08 135.07 84.73 82.47 129.58 319.55 121.58 82.23 154.03 63.85 173.7 206.05 43 11.23 60.18 74.9 98.65 158.38 83.63 102.58 66 254.67 97.4
"Charlie13a" 0 4 2 1 0 5 0 2 3 5 0 30 3 1 0 0 1 0 2 1 3 14 5.5 0
"polypyrimidine" 7 6 4.2 23.53 13.5 14 0 0 6 2 0 0 0.4 12 0.2 1 4 0 7.2 6.47 12.4 5.4 10.2 1
"L1MC4a" 22 38 94.6 35.5 29 52 60 61 46.5 101 20 86.5 90 28 0 43.5 34.5 54 72.33 21 54 13 108 40
"MLT2B3" 434 90.5 678 993.5 306.7 720.5 2487.5 533.33 527 789.5 110.5 43.5 260.9 260 1340 1029.5 767.83 1505.5 652.7 822.5 1351.5 395.5 1271.5 608
"(AGGGGG)n" 0.75 2 0 5.4 0 1 0 0 0 2.33 0 0 0 0.33 0 1 1.2 1 0 0 2 0 1 1
"MLT1G3" 12 3 0 8 11 12 0 12 12 24 11 20 39 2 0 6.5 12 8 4 6 33 0 20 3
"(CCCCCA)n" 4 1.8 21 31 10 17 0 9.4 23.2 7.67 5 0 9 3 1 9.33 19 21 29 14 32.8 11 37.77 18.4
"ERV3-16A3_I-int" 88 16 119 200 113 190.5 253 103 89 112 32 31 33 42 43 204.5 163.5 140.25 158.5 126 288.83 136 332.5 107
"(CGG)n" 48 13.5 164.9 84.62 23.2 116.08 0 56.03 75.48 76.57 58.9 57 56.85 60.67 69 65.47 71.2 72.33 52.27 124.77 102.87 10.25 129.8 92
"LTR67B" 43 19 106 147 27 72 174 66 52 55 14 17 39 21 16 135 96.25 39 99 69 113 7 182 95
"(TCTCCC)n" 0 0 0 5.2 2 1.2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0.73 0
"RMER1C" 31.8 39.83 62 32 56 81.9 22 58 46 59 16 163 82.7 12 53 42.9 35.3 42.5 46.8 63.2 76.2 14.4 138.5 66.2
"(CCCG)n" 0 0 0 2.4 0 6.4 0 0 1.4 0 1 0 7 0 0 0 2 0 2.6 2 0.8 0 4 0
"(CCCCCG)n" 0 0 0 0 0 2.6 0 0 0.4 0 7 0 0 0.5 0 0 0 0 0 3 1 0 1.5 0
"L1MB2" 38 50 56 30.4 12 75 0 87 44 151.5 19 161 87 30 64.5 20 47.5 41 49 65 52.6 48 102.25 62
"RLTR14_RN" 47 15 52 96 41 61 133 41 49 51 6 22 24 8 58 106 66.5 60 65.1 89 122 14 97 57
"RMER17C-int" 21.33 10.42 9.67 31.03 32.33 28.67 0 27 14.5 27.5 23.67 44 45.33 0.67 0 16 34.17 58.67 34.57 23.2 27.53 3 47.5 44
"(CACG)n" 2 1 7 0 3 5.2 0 0 2 7 1 20 2 2.2 38 8 3.5 0 0 12 3.2 3 9 1.5
"MT2B2" 170.63 240.63 377.7 541.45 667.93 440.38 612.5 158.2 376.22 319.8 240.1 347.3 468.7 189.5 469.23 274.45 750.03 1041.73 473.55 308.97 321.53 242.3 902.48 627
"L1MC2" 27 31 58 23 9 52.8 0 38 27 23 18 101 64 21 1.4 12.2 18.5 17.8 45 38 44 9 80.83 8.5
"MLT2C1" 45.5 13.5 101 53.5 44.5 60.5 13.5 23.5 37 41.5 6.5 24.5 21 4.5 32.5 27.5 49 40 32 21.5 66.5 43 109.2 48.5
"ORR1A2-int" 334.18 347.51 368.03 264.3 312.03 379.23 156.15 202.35 214.91 582.19 115.67 273.53 318.65 137.47 173.4 163.82 241.53 331.45 360.48 270.46 336.38 131.2 1090.55 440.59
"MER31B" 4 2 3 5 7 11 0 6 6 2 1 10 1 0 0 6 6 26 4 4 3.5 3 28 9
"RMER4B" 281.3 63.1 387.73 293.9 167.2 294.6 582 174.3 154.3 119.8 42 112.85 128.2 98 244 325.5 204.5 130.9 221.1 245.7 486.3 152.33 455.37 144
"ORR1C1-int" 3.2 13.5 18 9.9 24 16.4 0 11 13.65 5 8 31 15 2.25 9.2 10.5 5 33.5 12.6 11.33 20.6 0 35.63 17.2
"RLTR28" 38 18.6 71.67 101.1 55.2 62.3 67 56 38.5 39.03 25 79 36 26 130 49 63.3 75.6 49.6 60.1 146.87 59 107.43 43.2
"MamRep1527" 4 1 0 0 1 0 0 2 2 1 2 3 3 0 0 0 0 0 0 10 2 0 1 9
"L1_Mur1" 48.98 42.85 139.4 69.17 50.97 98.65 138.18 74.38 48.97 129.32 43.7 189.75 101.62 25.1 109.7 45.28 59.67 56.13 76.93 76.9 95.88 42.8 150.28 32.4
"MER21C" 13 27 122.33 56 23 65.5 12 63 47.5 65 23 107.5 68 25 51 38 37.5 10 57.2 32 95.5 8 126.42 49
"L1M4b" 12 10 69 38.5 33 42.1 2 46 30 41 19 59 63 8 21 27.2 49.5 23 53 42 52.75 41 61.5 34.5
"MTA_Mm-int" 35.93 37.73 100.13 40.73 56.4 60.68 56.9 55.4 49.67 99.68 30 46.6 77.37 29.35 111.13 27.8 43.38 58.4 44.98 55.87 76.23 7.4 105.9 40.53
"MLT1J2" 3 12 19 1 2 14 0 7 6 22.5 6 3 36 0 0 0 5.5 17 6 23 4.33 0 9 0.33
"RMER17C" 28.8 21 55.9 23.3 39 42.12 0.33 32.6 20.72 45.7 21 34.93 40.53 7.25 127 23.4 31 32 32.35 63.8 49.45 22.2 81.53 39
"LTR72_RN" 40 5 87 188.5 58 102.5 127 88 56 50 27 32 40 54 151 146 93 114 88 99 131.2 6 158 84
"Tigger17" 4 5 35 10 0 11 0 6 5 9 2 5 15 0 40 0 5 0 4 0 9 35 8 0
"Lx6" 216.67 115.15 218.52 325.35 232.07 401.58 435.78 285.72 204.42 346 103.7 380.93 323.45 60.67 205.85 224.23 250.67 408.55 291.8 239.03 458 297.5 652.71 244.9
"(GAAAA)n" 21.5 36 30.2 66.9 58.2 85.4 62 176.2 103 376.2 101 66 88.4 83 82 44.9 30.4 90 49.2 52.67 113.8 22 90.9 12
"ORR1A1" 21.6 32.8 68.93 25.2 43.17 29.83 37.6 32.8 25.07 29.93 20.6 39.7 33.73 37.33 76.72 18.27 30.78 29.27 42.5 26.8 33.53 18.07 38.78 30.03
"Tigger17c" 2 3 9 5 19 11 0 11 1 11 1 18 8 0 0 2 10 31 8 5 3.5 0 33 11
"Tigger13a" 5 2 0 8 15 13 0 11 8 24 11 30 16 0 0 5 6 19 16 21 10 2 23 6
"ID" 119.37 50.95 164.12 131.7 78.25 139.8 16.87 116.5 106.48 87.2 55.8 80 88.58 47 9.93 140.25 140.5 97.65 120.42 79.07 189.17 85.35 223.88 64.2
"Tigger1a_Art" 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 25 0 0 0 0 0 0
"Tigger5" 10 16 9 18 11 27 0 35 26 81 12 16 28 2 18 0 9 19.5 9.5 19 15.5 34 43 31
"Charlie15a" 0 2 15 4 3 4 0 8 2 2 0 0 5 0 0 1 0 6 1 0 4 0 6 2
"Charlie19a" 26 10 29 71.5 11 23 0 35 32 25 6 1 19 8 0 40.5 44.5 21 25 47 63 9 84 22
"(TTGG)n" 15 4.8 77.4 23.1 3.2 30.97 0.8 39.3 30.1 60.5 7.6 35 25.8 31.8 4 15.8 37.6 18.75 18.7 37.2 54.97 26.2 26.1 17.9
"IAPLTR2_Mm" 25.4 8.4 37.8 74.38 31.6 40.45 75 36.77 24.1 40.43 4.5 0.4 14.67 0 0.83 34.18 45.33 21.07 70.18 37.95 61.67 39.13 66.8 95.4
"(C)n" 0 0 0 7.2 5 5 0 5 1 3 3 9 8 0 0 5 3.2 0.4 4 5 19 0 11 0
"MER63D" 5 8.5 16 6.5 23 11 0 14 15.33 15 5 87 25.5 6 0 1 3 0 11 3 14 0 14 27
"(TAAAA)n" 1.75 1 2 12.8 10.5 12.25 0 7.25 3.25 19.45 0 23 13.95 2 23 9.25 12.9 40 23 17.25 29.1 0 28.25 0
"RLTR1D" 4.2 2.2 0 8.3 5.75 5.3 64 12 8 0.8 0 0 10.2 5 0 4 2.67 0 6.4 0 7 5 18.47 5.6
"RMER13B" 21.6 25.4 62.6 34.1 29.4 47.85 35.8 28.2 25 75.2 2.9 78.27 50.2 6.6 79.2 52.67 114.9 160.2 55.2 69.2 76.8 47.8 123.67 50.2
"(CAAAAA)n" 8 15 41 37.75 41.2 58.23 1 46 25.5 30.7 7 61.6 35 11.33 57.4 57 37.9 91.6 64.5 63.75 79.2 0 98.82 37.2
"L1MC5a" 56 32 86 122 53 109.5 149 98 49 108 30 94 70 33 88 73.5 99.2 125.25 95.2 54 156.25 51 161.7 87
"HAL1ME" 5 6 9 10 12 18 19 26.67 7 24 11 13 22 6 0 0 5 18 21 6 12 23 20.5 15
"RLTR10D" 2 1.4 0 22 13 2 0 11 7 6 1 14 12 27 0 4 8 0 2 1 19 0 8 9
"ERVL-B4-int" 15.5 3 13.83 19.33 6 16 0 15 6 19 8 14 14.7 12 10 7 7 34 7 7.33 10.5 0 33.5 6
"L1MC5" 47 30 80 45 22 67.5 0 55.5 54 77 22 189 127.5 45 69 28 36.5 87 81 31 46.5 38 127.5 60
"RMER21A" 16.2 10.5 1 6.65 9 20 0 17 6 9 1 33 13 1.2 35.5 10 18.5 5 12 8 13.9 0 24.6 3
"Lx2B" 36.73 13.5 53.93 58.12 32.53 76.73 0.5 44.7 42.05 61.58 20.4 123.72 99.18 6.2 55.3 19.57 36.03 68.9 41.25 49.22 40.9 39 112.5 13.07
"Charlie1b" 62.17 32.5 147 198 103.5 134 292 120.5 88.5 94.5 25 27 78.5 28.5 194.5 190 149.5 92 144.5 173 308.5 112 254.5 181.5
"RMER19B" 101.4 60.6 232 158.3 121.8 220.97 208.8 167.67 128 142.77 95.33 164.3 232.87 119.8 114.2 107.53 140.38 201.93 151.22 155.2 200.95 59.6 425.43 186.1
"IAPEY3_LTR" 2 4 7 5.8 0.8 0.8 0 1.8 7.37 3.5 11 0 1 0.25 0 4 5 0 7.3 0 10.2 0 9.93 7.17
"Helitron3Na_Mam" 0 1 0 2 1 2.5 0 3 2 0 0 8 0 10 0 0 6 0 1 0 0 0 2 6
"Lx10" 213.3 81.53 283.03 646.4 198.2 592.08 581 458.5 333.9 448.37 84.33 127.43 291.92 143.83 220.92 655.43 457.03 456.5 422.47 532 935.72 289.5 872.47 343.5
"Cheshire" 16 8 7 8 4 29 35 23 16 32 10 52 32 18 0 2 15 14 7.5 23 25 9 28 7
"L1MEc" 25.5 44 44.58 46.25 50 76.33 88 49.5 70 140.87 26 99 118 20 24 57 53 93 76 42 57.5 60 137.17 91
"RLTR34B_MM" 1 10 17 13 1 5.58 28 1 7.5 2 0 10 5 0 0 5.8 5 12.2 8 0 1.4 0 19.83 0
"IAP1-MM_LTR" 0 0 0 0 0 2 0 3 0 2 0 2 2 0 0 2.67 0 0 0 0 4.67 0 0.33 3
"(CTG)n" 12.67 27.17 48.67 14.57 1.8 39.05 0 36.25 32.92 14.75 24.5 55.67 22.67 9.9 6 14.5 36.38 25 32.03 43.15 43.42 15.8 79.57 19.5
"LTR33A_" 0 3 4 5 0 5 0 7 1 2 3 5 0 0 0 0 4 0 4 0 2 0 6 0
"Zaphod2" 2 1 0 2 14 7 0 13 1 4 9 0 3 0 0 0 3 0 4 0 3 0 2 0
"L1M1" 36 12 39 114 54 75 399 40 35 68.75 3 0 23.5 30 30 67 68 16 53 108.2 82 38 151 35
"(CAGTA)n" 1 0 0 0 0 0.2 0 11 1.5 0 0 0 1.6 0 0 0 0 0.4 0 0 0 0 0 1.6
"(GGGA)n" 3.2 2 19.8 3.4 0 12.2 0 3 8 2.75 0 17 5.2 0 12 1 7 0 3 20 15.6 0 18.8 4
"L1M4a2" 19 1 23 17.8 33 21.5 48 18.5 18 25.5 14 3 5 8 52 15 22 17 9.5 6 19 52 24.17 21
"(CAT)n" 92 21.5 110.7 83.45 72.5 228.9 140.13 54.43 43.98 112.15 17 36.4 26 11.6 46.8 56.87 96.3 55.05 38.5 71 181.78 122.17 338 76.9
"RLTR40" 33.65 15 25.25 13.33 29.9 36.9 120.67 29.2 23.5 55.4 10 29.8 18 19 94 14 32 53 18 12.2 22 32 74.75 4
"MYSERV6-int" 1125.49 567.6 696.9 824.1 2607.77 1318.96 749 417.3 1259.64 874.69 591.05 774.19 957.54 399.9 597.86 722.4 870.19 968.56 803.29 1042.89 863.06 921.69 2855.24 1152.19
"MYSERV-int" 32.2 18 53.6 90.02 33.5 79.78 0 57 47.53 50.25 24 83.2 36.5 41 114 95 54.1 113 71.7 53.5 92.5 80.8 127.03 72
"MER113" 23.4 6 11 10.67 0 10 0 5 5.33 20 1 24 10 0 0 2 10 8 3 5.4 7 0 13 20
"MER2B" 5 12 25.5 4.5 20 12.9 0 17 13 12 5 14 24 3 2 4 5 14 3 0 3 3 16 19
"MLT2B2" 12 9 13 8.5 0 11 0 26 5 11.17 7 20 8 3 0 4 4 6 34.33 2 23 2 17.33 7
"RLTR12BD_Mm" 13 4 8 4.2 2 9 0 2 9.5 2 7 18 19 39 8 2.6 15 34.2 7.5 14.5 1 0 31.58 1
"Kanga1d" 1 0 0 0 0 0 0 6 2 9 0 0 0 0 0 0 1 0 0 3 0 0 0 0
"(TCTCC)n" 0 0 0 1.8 0 0.2 0 0 0 0 0 0.2 0 0 0 1 2 0 0 0 0 0 1.2 0.4
"MLT1F2" 70 26 32 189 31 93.5 189 86 71 65 32 31 44 74 123 93 76.17 133 80 72 118.5 18 217.5 78
"L1M6" 0 1 0 0.5 0.75 5 0 2 2 2 6 14 10 0 0 0 3 0 5 3 0 0 7 9
"MER58B" 17.33 28 23.5 65.2 82.2 55 27 42 42.5 76.1 40 61 123.5 3 99.6 36.6 53.5 102 50 36 77.4 23 96.2 24
"L1MEi" 1 3 17 2 0 3.5 0 0 5 10 10 0 4 42 0 0 1 8 4 0 2 51 8 1
"Tigger10" 3 14 7 3.5 4 16 11.5 20 9.5 16 2 10.5 13 0 1 14 9 2 10.2 11 9 0 8 11.5
"Lx2A1" 21.7 11.2 82.7 39.6 22.13 40.17 101.4 43.3 22.8 27.33 4.8 16.23 33.95 23.07 69 34.4 34.4 79.2 44.53 29.5 69 22.4 59.27 23.25
"L1MDa" 52.5 23 25 32.4 41 51.43 19 49.7 28.67 52.8 11 116 60 4.2 82 24.6 50 58 56.5 19.5 42.17 24 100.6 42
"(CTGTG)n" 4.5 1.6 0 2 2 6 0 3.25 9 0 0 0 12 1 36 1 8 13 11 13 8 0 13.1 8.2
"(ATTG)n" 2 5.6 1 2.2 0 5.25 0 3.25 1 6 6 35 8.4 0 0 4 6.4 0 3.2 0 0.75 1 9.6 0
"MYSERV16_I-int" 136.67 39.25 141 257.12 122 237.78 226 148.3 120.85 225.58 62.2 43.2 116.18 32.4 183.4 168 195.15 126.1 182.48 231.2 324.75 107.2 328.45 210
"RLTR22_Mus" 9.4 5.2 5.5 22.98 0 26.83 0 21.33 12.67 18.13 2 8.7 34.9 16.1 14.2 23.5 15.33 37 28.67 27.53 40.68 0 52.13 20.73
"RLTR20A1" 0 1 0 0.67 0 0 0 5 0 0 0 0 3 0 0 1 1.5 0 0.4 0 3 0 3.6 0
"RLTR10C" 31.73 7.25 29.2 69.78 9.6 55.2 87 59.48 41.03 34 18.9 3 37.33 7.45 2 40.4 56.03 31.33 46.8 70.07 80.07 34.8 87.67 38.45
"MER63B" 4 2 2 8 3 6 0 0 7.2 0 1 1 16 1 0 0 5 0 4 0 6 0 12 0
"HAL1" 32.5 22 89 39 34 49 0 43 26.5 52 35 76 60 34 78.8 28.6 58 74 59 28 57 89 98.33 44
"AmnSINE2" 1 5 0 3 5 7 0 8 4 2 0 0 4 12 0 2 8 16 0 1 6 0 22 0
"MER34A" 6 1 1 7 0 17 0 7 11.5 12 0 2 6 9 2 1 4 35 7 3.5 12 32 18 2
"LTR16D" 0 0 0 3 0 0 0 0 1 0 0 0 0 1 12 4 1.5 0 1 0 8 0 0 3
"RLTR31B2" 5 10.2 56 6.2 15 22.83 0 12.5 6 30.5 1 20 24 12 0 9 15.53 0 26 21 20 35 26.6 19
"(TTCA)n" 47.67 11.57 64.58 202.2 28.63 173.17 236.5 127.77 77.17 58.8 31 40 73.93 24 128 129 117.27 184.2 95.87 168.67 216.8 50.8 317.6 69.9
"MER46C" 4 11 31 15 16 25.5 2 24 10 33 10 8 22 34 0 9 3 10 8 21 7 3 29 13
"(CAAT)n" 0 6.4 0 1.45 0 4.65 0 1.25 1 7 3 32 3.6 3 0 1 2.5 18 3.2 9 0.75 0 7.17 10.8
"(TTTCC)n" 0 0 1 2.4 0 0 0 0 0.2 0 0 0 0 0 0 2.65 0.7 0 4 0 0 0 0.4 0
"(CAAAC)n" 0.4 3 11.53 1.75 0 5 0 0 1.2 3.8 0 0 2.5 0 11.4 6 1.7 0 5.2 0.2 10.3 0 0 5.33
"HAL1b" 11 11 3 11 0 11 0 4 9 4 0 4 10 0 31 2.25 5 24 12 4 7 0 14 2
"MER58D" 37 7 40 46 8 44 0 57 28 25 11 2 22 0 28 44 60 32 51 19 57 53 120 36
"(CGGGGG)n" 0 0 0 0 0 0.4 1 0 0.4 0 0 0 0 0 0 0 0.87 13 10 0 0.4 0 1 0
"L1ME2" 23.5 14 44 32 26 44.2 10.5 39 44.2 77 10 95.4 73.5 19.2 0 23 36 51 37 43 29 54 97.7 32
"MER45A" 14 2 0 12 18 12.5 0 9 7 7 5 5 8 1 0 19 11 47 15 22 20 32 46 40
"RMER20C_Mm" 26 3 12 15 3 21 0 12 7 16 1 46 29 5 0 14 18 4 17.5 0 12 0 31.2 3
"MER96" 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 10 1 0 0 0 1 0
"MER21B" 29.25 20 61 46.2 40.2 59.5 63 27 25 36 12 7 51 10 9 19 30 37 30 24 39.75 3 69 32
"(CCCCAG)n" 8.5 7 12 13 0 12 0 3 11.17 3.5 15 16 3 4 30 8 15 5.5 14 3 21 0 20 1
"RMER6D" 13.8 22.6 18.13 27.43 12.2 42.67 37.2 29.6 15.9 25.07 9.5 80.4 42.3 9.4 0 4.2 27.8 28.65 20.8 8.5 38.15 8 63.05 27.4
"(CCCTG)n" 0 0 3.2 0.4 0 0 0 0 0.2 0 0 1 0 0 18.6 0 1 0 0 0 8 2.6 5.6 0
"MurERV4-int" 158 56 91.2 325.6 93.5 278.95 222 217 174.8 218 64 124.4 164.2 80.2 239 245.8 240.37 242.6 232.13 232.7 396.63 160.4 444.18 207.6
"L1ME3D" 0 4 0 0 2 1 0 0 6 23 1 0 0 0 0 5 1 0 11 0 2 15 14 0
"MMAR1" 0 11 19 4 8 12 0 7.5 5 36 1.5 5 8 0 0 1 3 0 8 9 8 5 51.4 1
"(CCCTAA)n" 26.08 7.13 145.7 60.2 29.13 128.37 3.9 20.85 40.8 16.03 14.7 5.3 11.4 10.3 44.23 34.43 57.7 71.77 87.63 63.23 90.58 71.03 162.46 62.5
"ORR1B1-int" 65.42 50.82 85.67 89 62.3 101.93 141 78.92 61 114.4 11.45 105.4 79.8 41.95 41.4 49.08 65.13 127.67 108.58 41.92 153.6 21.4 200.48 44.1
"Charlie8" 52 24 110 140 50 129 2 60 54.5 61.2 23 25 27 29 64 114 94.45 63 102 97 218 7 139 76
"L1MEf" 32.33 27 94.5 34.5 33.2 48.4 31 71 16.4 58 18 75 84.7 9 42 20 39.2 63 47.8 34.8 45.4 17 104.8 5
"LTRIS2" 16.65 4.42 20.92 32.17 10.8 29.93 0 25.8 9.35 38.15 7.5 44.2 17.72 7.5 63 19.75 21.47 15.8 37.33 22.25 57.48 6 34.18 31.63
"MuRRS4-int" 106.9 21.9 443.59 296.55 158.46 463.33 71.6 160.7 297.26 61.6 53.7 11 65.1 36.3 250.33 254.1 338.66 214.73 145.2 270.73 332.45 141.4 622.02 505.86
"(TTCTCC)n" 0.2 0.33 0 0.4 0 0 0 0 0 1 0 0 0.2 0 0 1 2.33 0 1 1.2 3 0 1.3 1.8
"MLT1H1" 20 12 16 27 17 25 0 10 15 47.5 12 17 15 0 55 29 13 9 9.5 36 28.33 5 44 3
"ORR1A4-int" 110.15 86.1 110.98 209.37 108.32 173.5 319.47 181.58 128.62 109.35 70.53 52 131.48 94.1 78.43 196.13 176.03 192.37 157.55 185.08 223.62 55.6 255.6 117.3
"HERV16-int" 0 1 0 1 0 1 0 0 1 3 0 2 0 0 0 3 0 0 2 0 1 1 3 0
"(CAGAG)n" 0 0 0 1.47 3.4 2 0 0 1 0.8 0 0 0 0 0 0 0.4 6 0 8 0 0 0.92 3
"Charlie29a" 1 0 0 0 8 6 0 2 4 13 0 0 4 11 24 0 8 0 2 0 2 11 5 0
"(GAGAA)n" 0 0.4 0.6 1 0 0 0 4 0.5 3 0 0 0 0 0 6 0.2 0 1.5 0 1.8 0 2 0
"(GGAGA)n" 0.4 0 0.6 0.8 0 3.6 0 0 0 0.8 0 0 0 0 0 0 1 0 0 0 0.6 0 2.5 1.4
"LTR41B" 2 9 0 5 1 7.5 0 11 3 5 0 44 4 0 0 0 1 0 5.5 9 3 1 0 0
"Charlie1" 213.33 54 302 630.1 133 328.3 336 318 317.5 415 94 89 165.8 125 232 400 338 282 339 348 577.5 235 637.37 333
"MER117" 5 12 11 7 9 16.5 0 23 3 13 4 1 7 6 0 5 7.5 19 5 8 17 46 17 9
"MLTR73" 6 8 3 14.33 0 15.4 10 6 13.2 9 1.25 0 30 1 3 19.5 8.53 11 14 0 4.25 30 11.58 12
"MER115" 55 12 56 141.4 36.2 81.4 106.8 79 45.33 54.6 22 21 22.2 27 98 78.8 87.2 59.6 85 77 203.8 25.6 195 66.2
"ERVB5_2-LTR_MM" 96.6 22 156.6 284.37 24.8 196.1 162 157.95 118.02 83.4 35 11.8 66.6 34.8 177 216.4 152.32 55 160 197.03 377.73 114.25 245.75 154.2
"MER77" 0 1 0 5 2 8 80 0 3 15.8 9 7 9 0 0 7 3.5 7 3 0 7.5 2 22 8
"RLTR19" 8 4.5 10 7.5 1 15.5 0 20.5 8 26.5 2 44.5 3 11 0 19 15.9 40 4 19 27.1 10 26.8 5.7
"(GGAAA)n" 0 0 0 1 0 0 0 0.2 0 1 0 0 4 0 14 2.2 0.25 0 3 0 0 0 0.4 0
"RLTR13A1" 0 2 7 8.2 4 6.4 0 1 2.4 1 1 7 4 0 0 0 1 0 0 0.8 4.6 0 7.2 2
"RLTR17D_Mm" 29.3 18.2 36.6 16.98 17.67 37.25 15.6 31.8 19.4 26.3 16 65.1 33.2 7.5 8 29.3 18.15 10 34.13 10.9 28.4 7.67 61.9 31.4
"MER58C" 0 6 13 8 5 12 0 16.17 6.5 15 1.5 12 9 0 0 3 8 11 24 6.5 17.5 10 49.2 6
"RLTR47" 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0.25 0 3 0 0 0.8
"RMER17A2" 452.07 91.4 560.71 892.05 228.7 661.73 745.6 512.38 382.07 489.93 112.3 79.2 218.15 138.7 765.85 870.88 702.23 523.35 585.95 523.22 1138.53 218.43 1004.98 720.63
"MLT1E" 2.67 6 1.67 4 4 24.33 0 2 7 6 2 22 15 0 8 2 3 0 16 7 6.33 0 11.33 0
"L1ME4a" 13 22 0 27 10 52 42 25.5 37 38 6 51 85 6 22 27 21 9 28 33 34 3 76 42
"RLTR14-int" 767 140.6 941 1735.75 572.75 1286.92 1985 921.25 852.15 744.25 150 144 319 251 813 1600 1179.75 1111.75 1082.67 1214 2292.25 670 2192 867.5
"MURVY-int" 30 6 57.4 79.8 13 56.2 102 20.5 34.4 18.2 12 22 24.83 0.6 72 56.2 49.1 5 33.2 28.8 105 28.8 92.7 37
"MER53" 11 6 12 7 6 17 6 8 17 15 9 35 27 21 15 5 11 5.5 10 0 13.67 0 34 0
"MER103C" 43 33 76 137 55 101 67 89 51 61 19 16 53.2 28 104 86 87 131 89.5 103 153 10 146.5 110
"polypurine" 0 1 12 1.2 0 0.2 0 16 3.5 1 3 0 1.5 0 10 1.13 3.5 6 0.4 2.17 6.7 0.4 11.2 6
"(TAAAAA)n" 0 6 19 5 8 10 0 6 8 11 1 14 3 11 0 1 8 0 5 2 17 0 13 8
"MLT1J" 73 41 109 103 42.2 124 195 84 87.5 89.5 25 31 73 13 49 134 121 100 131 146 149 76 213.5 101
"RMER20A" 14 3 3 15.5 23 13.2 0 14 9 19 12 38 14 0 0 2 19.5 39 14 9.7 16.4 17.5 30.5 3
"(ATGGTG)n" 4 7.5 0 6 0.6 5.25 3.6 0 3 0 4 0 5 0 0 2 2 6.7 0 0.2 0.2 17 5 3
"Tigger14a" 0 0 0 2 0 7 0 2 2 8 5 16 0 1 1 0 2 0 8 0 3 0 2 5
"MER45B" 1 4 0 7 1 2.5 0 4 11 8 0 34 1.5 1 0 3 9 0 6 5 4.5 25 13.5 4.5
"RLTR48A" 2.3 8.4 14 12 17.2 13.47 0 19 9 14 1 19 20.5 0 42 24 9.8 26 19.5 19 36 19 28 13
"RLTR20A3_MM" 2.5 4.2 0 13.67 9 17.9 0 22 10 5 7 11 11.33 0 0 4 8 10.5 16 0.4 18.5 3 16.9 0
"MER44D" 16 5 45 6 8 15 0 15 3 45 9 16 20 14 0 2 11 0 11.4 1 14 8 18.5 14
"MLTR11A" 28 21 45.6 17 26 47.83 0 55 33.5 51 21 91 32 7 15 21.5 28 40 46.17 30.2 33 24.5 63 8
"RLTR25B" 35.5 6 33 19 13.23 44.35 0 49.83 16.53 25.4 22 29.33 41.8 0 35 11.33 33.03 43.93 27.4 50.17 47.5 0 65.72 27.17
